;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;
;Mомчета;Mомичета;Mомчета;Mомичета;Mомчета;Mомичета;Mомчета;Mомичета;Mомчета;Mомичета;Mомчета;Mомичета;
Видин;293;263;288;284;304;282;262;286;242;231;281;247;
Враца;761;692;677;643;701;674;669;679;678;656;633;609;
Ловеч;507;457;533;476;505;523;506;463;482;500;496;469;
Монтана;571;535;508;511;500;504;486;450;459;464;493;460;
Плевен;1111;1071;1089;1023;957;988;1009;993;988;935;892;894;
Велико Търново;1117;1024;1047;1040;948;953;900;843;820;842;896;832;
Габрово;366;361;377;350;372;369;386;365;317;305;307;303;
Разград;487;445;447;435;501;441;442;434;408;395;394;406;
Русе;919;853;928;760;855;832;801;707;795;710;760;785;
Силистра;520;477;475;453;441;378;471;425;425;371;421;365;
Варна;2257;2267;2329;2084;2199;2076;2200;2084;2167;2052;2153;2031;
Добрич;758;708;712;688;667;626;698;658;640;584;594;550;
Търговище;493;478;456;482;498;449;469;433;402;391;411;393;
Шумен;817;751;701;708;777;674;725;689;653;572;622;603;
Бургас;1967;1984;2003;1910;1949;1775;1963;1803;1781;1711;1763;1636;
Сливен;1209;1118;1217;1155;1215;1043;1165;1126;1084;1060;1078;1088;
Стара Загора;1565;1460;1588;1479;1529;1409;1401;1393;1409;1364;1394;1332;
Ямбол;587;580;571;565;601;573;569;529;590;508;551;516;
Благоевград;1403;1433;1375;1327;1410;1266;1379;1415;1387;1268;1305;1290;
Кюстендил;447;412;452;425;414;417;427;446;410;383;365;396;
Перник;517;433;468;454;479;454;443;429;425;378;438;415;
София;1051;994;1001;967;1056;932;1041;1015;1075;1004;1084;1029;
София (столица);6977;6512;6992;6605;6768;6292;6759;6316;6727;6381;6791;6344;
Кърджали;742;657;694;678;719;661;719;686;635;536;542;487;
Пазарджик;1247;1156;1210;1137;1238;1176;1193;1117;1123;1000;1060;997;
Пловдив;3277;3086;3260;3150;3257;3080;3143;3057;3126;2936;3190;3022;
Смолян;384;394;359;382;368;303;337;309;267;364;291;296;
Хасково;1025;1008;1030;997;916;903;952;873;857;813;868;810;
