;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;брой;
;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;
;Мъже;Жени;Мъже;Жени;Мъже;Жени;Мъже;Жени;Мъже;Жени;Мъже;Жени;
Видин;1043;1038;1018;981;1029;963;957;965;1173;1096;1385;1197;
Враца;1659;1545;1704;1655;1659;1582;1697;1483;1906;1633;2301;2063;
Ловеч;1315;1195;1408;1291;1312;1170;1354;1228;1441;1313;1721;1576;
Монтана;1542;1354;1448;1364;1425;1416;1400;1399;1754;1462;1991;1824;
Плевен;2403;2221;2333;2293;2393;2174;2405;2219;2701;2399;3192;2954;
Велико Търново;2163;1929;2228;2045;2102;2040;2098;1995;2397;2102;2909;2727;
Габрово;1106;1063;1142;1185;1120;1064;1078;1036;1305;1239;1419;1496;
Разград;1002;881;1035;915;1006;916;988;892;1249;1118;1403;1282;
Русе;1977;1726;1884;1791;2030;1806;1938;1773;2368;2026;2675;2573;
Силистра;1042;762;1057;848;1080;894;1055;872;1264;1038;1411;1301;
Варна;3240;2873;3209;2886;3235;2966;3165;2825;3636;3294;4374;4132;
Добрич;1526;1258;1603;1354;1553;1355;1564;1348;1762;1500;2128;1820;
Търговище;947;903;978;869;939;884;942;946;1127;1054;1375;1251;
Шумен;1305;1243;1405;1321;1434;1334;1457;1235;1607;1509;1944;1855;
Бургас;2910;2557;2992;2696;2910;2593;3008;2675;3329;2871;3905;3562;
Сливен;1475;1297;1534;1356;1562;1355;1485;1346;1718;1595;1981;1807;
Стара Загора;2747;2456;2767;2564;2713;2544;2694;2502;3133;2802;3617;3466;
Ямбол;1131;974;1146;1018;1180;1053;1107;1014;1284;1165;1491;1255;
Благоевград;2117;1820;2197;1904;2224;1832;2149;1905;2648;2315;3143;2653;
Кюстендил;1321;1164;1331;1202;1265;1171;1335;1101;1491;1316;1705;1590;
Перник;1269;1126;1285;1160;1261;1123;1284;1167;1512;1243;1784;1598;
София;2217;2053;2270;2019;2244;2002;2222;1941;2696;2230;3082;2703;
София (столица);7620;7903;7554;7823;7638;7894;7680;7955;9124;8597;11137;10773;
Кърджали;1041;861;1011;948;1054;887;1047;915;1246;1044;1477;1340;
Пазарджик;2049;1883;2095;2056;2024;1830;2096;1920;2578;2229;2950;2607;
Пловдив;5060;4764;5104;4781;5093;4753;5041;4728;6038;5531;6965;6727;
Смолян;860;795;950;821;881;788;894;771;1123;984;1178;1098;
Хасково;2035;1814;2093;1864;2001;1770;1978;1809;2340;2080;2656;2466;
