;;;брой;брой;брой;брой;брой;брой;
;;;2016;2017;2018;2019;2020;2021;
;;;Общо;Общо;Общо;Общо;Общо;Общо;
Видин;Общо;Мъже;43400;42411;41349;40369;39487;38216;
Видин;Общо;Жени;45467;44516;43516;42466;41725;40598;
Враца;Общо;Мъже;83036;81459;79894;78234;77196;75100;
Враца;Общо;Жени;85691;84186;82655;81236;80441;78600;
Ловеч;Общо;Мъже;63102;61906;60836;59658;59580;58181;
Ловеч;Общо;Жени;66120;65055;64037;62888;62910;61599;
Монтана;Общо;Мъже;65899;64678;63334;62121;61166;59481;
Монтана;Общо;Жени;68770;67536;66303;64880;64229;62698;
Плевен;Общо;Мъже;121044;119044;116915;114729;113082;110376;
Плевен;Общо;Жени;127094;125165;123465;121576;120356;117924;
Велико Търново;Общо;Мъже;117156;115655;113916;112401;110803;108747;
Велико Търново;Общо;Жени;125103;123477;121792;120167;118915;116927;
Габрово;Общо;Мъже;54239;53243;52213;51298;50874;49703;
Габрово;Общо;Жени;58095;57011;56191;55300;54914;53701;
Разград;Общо;Мъже;56367;55437;54714;54012;53467;52358;
Разград;Общо;Жени;59035;58277;57515;56777;56343;55406;
Русе;Общо;Мъже;109192;108150;106679;105026;103521;101745;
Русе;Общо;Жени;114297;113186;111877;110451;109208;107339;
Силистра;Общо;Мъже;55011;54199;53464;52738;52049;51062;
Силистра;Общо;Жени;56946;56363;55807;55280;54803;53807;
Варна;Общо;Мъже;230690;230301;229614;228712;228625;227990;
Варна;Общо;Жени;241964;241819;241638;241173;241499;240624;
Добрич;Общо;Мъже;87054;85739;84476;83378;82505;80910;
Добрич;Общо;Жени;91384;90406;89355;88431;87793;86404;
Търговище;Общо;Мъже;55644;54942;54512;54164;53665;52668;
Търговище;Общо;Жени;58050;57532;57085;56750;56362;55449;
Шумен;Общо;Мъже;85410;84539;84145;83922;83696;82477;
Шумен;Общо;Жени;89066;88427;88210;88340;88085;86946;
Бургас;Общо;Мъже;200368;199519;198630;197790;197692;196999;
Бургас;Общо;Жени;212316;212060;211701;211475;212058;211705;
Сливен;Общо;Мъже;92361;91614;90636;89422;88576;87332;
Сливен;Общо;Жени;97427;96819;95859;94697;93975;92726;
Стара Загора;Общо;Мъже;155975;154706;153264;151611;150524;148455;
Стара Загора;Общо;Жени;165402;164361;163092;161785;160876;158685;
Ямбол;Общо;Мъже;59983;58976;58200;57408;56961;55833;
Ямбол;Общо;Жени;62293;61494;60697;59927;59525;58528;
Благоевград;Общо;Мъже;151342;150007;148542;147231;146369;144852;
Благоевград;Общо;Жени;158979;157875;156581;155463;154769;153399;
Кюстендил;Общо;Мъже;60022;58819;57944;56922;56699;55037;
Кюстендил;Общо;Жени;63409;62280;61097;59993;59920;58403;
Перник;Общо;Мъже;60413;59646;58824;57932;58550;57252;
Перник;Общо;Жени;63357;62775;62056;61258;61876;60771;
София;Общо;Мъже;115281;113849;112497;111249;117261;114801;
София;Общо;Жени;118904;117714;116544;115422;121215;118806;
София (столица);Общо;Мъже;633596;635040;636963;637465;627198;628006;
София (столица);Общо;Жени;690041;690389;691157;691325;681214;679433;
Кърджали;Общо;Мъже;75034;74958;75525;78102;79430;79623;
Кърджали;Общо;Жени;75803;76155;77348;80102;81351;81401;
Пазарджик;Общо;Мъже;127882;126454;125103;123715;122821;120697;
Пазарджик;Общо;Жени;132932;131511;130376;129061;128479;126663;
Пловдив;Общо;Мъже;323157;322158;321176;320136;319851;318186;
Пловдив;Общо;Жени;348416;347638;347158;346665;346547;344721;
Смолян;Общо;Мъже;53169;51960;50959;49930;48940;47662;
Смолян;Общо;Жени;56256;55322;54462;53602;52947;51656;
Хасково;Общо;Мъже;114151;113000;111377;109971;109127;107562;
Хасково;Общо;Жени;119264;118276;116764;115346;114498;112707;
